Destination_state,Origin_state,Total migrants employment
State - BIHAR (10),Mizoram,13
State - BIHAR (10),Tripura,19
State - BIHAR (10),Meghalaya,38
State - BIHAR (10),Assam,"1,188"
State - BIHAR (10),West Bengal,"12,934"
State - BIHAR (10),Jharkhand,"17,585"
State - BIHAR (10),Odisha,620
State - BIHAR (10),Chhattisgarh,201
State - BIHAR (10),Madhya Pradesh,482
State - BIHAR (10),Gujarat,746
State - BIHAR (10),Daman & Diu,4
State - BIHAR (10),Dadra & Nagar Haveli,18
State - BIHAR (10),Maharashtra,"1,921"
State - BIHAR (10),Andhra Pradesh,285
State - BIHAR (10),Karnataka,281
State - BIHAR (10),Goa,13
State - BIHAR (10),Lakshadweep,67
State - BIHAR (10),Kerala,487
State - BIHAR (10),Tamil Nadu,342
State - BIHAR (10),Puducherry,14
State - BIHAR (10),Andaman & Nicobar Islands,10
State - BIHAR (10),Last residence outside India,"8,455"
State - BIHAR (10),Countries in Asia beyond India,"4,790"
State - BIHAR (10),Other Countries,"3,665"
State - BIHAR (10),Unclassifiable,273
State - SIKKIM (11),Total,"46,554"
State - SIKKIM (11),Last residence within India,"41,442"
State - SIKKIM (11),Within the state of enumeration but outside the place of enumeration,"21,900"
State - SIKKIM (11),Elsewhere in the district of enumeration,"13,412"
State - SIKKIM (11),In other districts of the state of enumeration,"8,488"
State - SIKKIM (11),States in India beyond the state of enumeration,"19,542"
State - SIKKIM (11),Jammu & Kashmir,155
State - SIKKIM (11),Himachal Pradesh,194
State - SIKKIM (11),Punjab,135
State - SIKKIM (11),Chandigarh,17
State - SIKKIM (11),Uttarakhand,114
State - SIKKIM (11),Haryana,121
State - SIKKIM (11),NCT of Delhi,175
State - SIKKIM (11),Rajasthan,114
State - SIKKIM (11),Uttar Pradesh,628
State - SIKKIM (11),Bihar,"3,790"
State - SIKKIM (11),Sikkim,0
State - SIKKIM (11),Arunachal Pradesh,100
State - SIKKIM (11),Nagaland,55
State - SIKKIM (11),Manipur,163
State - SIKKIM (11),Mizoram,8
State - SIKKIM (11),Tripura,18
State - SIKKIM (11),Meghalaya,67
State - SIKKIM (11),Assam,"1,089"
State - SIKKIM (11),West Bengal,"10,687"
State - SIKKIM (11),Jharkhand,596
State - SIKKIM (11),Odisha,363
State - SIKKIM (11),Chhattisgarh,22
State - SIKKIM (11),Madhya Pradesh,267
State - SIKKIM (11),Gujarat,41
State - SIKKIM (11),Daman & Diu,17
State - SIKKIM (11),Dadra & Nagar Haveli,1
State - SIKKIM (11),Maharashtra,83
State - SIKKIM (11),Andhra Pradesh,251
State - SIKKIM (11),Karnataka,78
State - SIKKIM (11),Goa,17
State - SIKKIM (11),Lakshadweep,0
State - SIKKIM (11),Kerala,94
State - SIKKIM (11),Tamil Nadu,75
State - SIKKIM (11),Puducherry,0
State - SIKKIM (11),Andaman & Nicobar Islands,7
State - SIKKIM (11),Last residence outside India,"5,065"
State - SIKKIM (11),Countries in Asia beyond India,"4,909"
State - SIKKIM (11),Other Countries,156
State - SIKKIM (11),Unclassifiable,47
State - ARUNACHAL PRADESH (12),Total,"119,244"
State - ARUNACHAL PRADESH (12),Last residence within India,"116,431"
State - ARUNACHAL PRADESH (12),Within the state of enumeration but outside the place of enumeration,"67,061"
State - ARUNACHAL PRADESH (12),Elsewhere in the district of enumeration,"41,305"
State - ARUNACHAL PRADESH (12),In other districts of the state of enumeration,"25,756"
State - ARUNACHAL PRADESH (12),States in India beyond the state of enumeration,"49,370"
State - ARUNACHAL PRADESH (12),Jammu & Kashmir,81
State - ARUNACHAL PRADESH (12),Himachal Pradesh,71
State - ARUNACHAL PRADESH (12),Punjab,65
State - ARUNACHAL PRADESH (12),Chandigarh,3
State - ARUNACHAL PRADESH (12),Uttarakhand,92
State - ARUNACHAL PRADESH (12),Haryana,123
State - ARUNACHAL PRADESH (12),NCT of Delhi,104
State - ARUNACHAL PRADESH (12),Rajasthan,358
State - ARUNACHAL PRADESH (12),Uttar Pradesh,"1,925"
State - ARUNACHAL PRADESH (12),Bihar,"5,328"
State - ARUNACHAL PRADESH (12),Sikkim,87
State - ARUNACHAL PRADESH (12),Arunachal Pradesh,0
State - ARUNACHAL PRADESH (12),Nagaland,417
State - ARUNACHAL PRADESH (12),Manipur,588
State - ARUNACHAL PRADESH (12),Mizoram,95
State - ARUNACHAL PRADESH (12),Tripura,269
State - ARUNACHAL PRADESH (12),Meghalaya,457
State - ARUNACHAL PRADESH (12),Assam,"33,587"
State - ARUNACHAL PRADESH (12),West Bengal,"2,859"
State - ARUNACHAL PRADESH (12),Jharkhand,722
State - ARUNACHAL PRADESH (12),Odisha,886
State - ARUNACHAL PRADESH (12),Chhattisgarh,56
State - ARUNACHAL PRADESH (12),Madhya Pradesh,74
State - ARUNACHAL PRADESH (12),Gujarat,18
State - ARUNACHAL PRADESH (12),Daman & Diu,0
State - ARUNACHAL PRADESH (12),Dadra & Nagar Haveli,0
State - ARUNACHAL PRADESH (12),Maharashtra,110
State - ARUNACHAL PRADESH (12),Andhra Pradesh,124
State - ARUNACHAL PRADESH (12),Karnataka,60
State - ARUNACHAL PRADESH (12),Goa,11
State - ARUNACHAL PRADESH (12),Lakshadweep,0
State - ARUNACHAL PRADESH (12),Kerala,660
State - ARUNACHAL PRADESH (12),Tamil Nadu,136
State - ARUNACHAL PRADESH (12),Puducherry,3
State - ARUNACHAL PRADESH (12),Andaman & Nicobar Islands,1
State - ARUNACHAL PRADESH (12),Last residence outside India,"2,785"
State - ARUNACHAL PRADESH (12),Countries in Asia beyond India,"2,724"
